table_name,column_name,data_type,notnull,default_value,primary_key
NL_CK,Bamei,TEXT,0,,0
NL_CK,HeichiHonsyokinTotal,BIGINT,0,,0
NL_CK,SyogaiHonsyokinTotal,BIGINT,0,,0
NL_CK,HeichiFukasyokinTotal,BIGINT,0,,0
NL_CK,SyogaiFukasyokinTotal,BIGINT,0,,0
NL_CK,HeichiSyutokuTotal,BIGINT,0,,0
NL_CK,SyogaiSyutokuTotal,BIGINT,0,,0
NL_CK,TotalChakuCount,INTEGER,0,,0
NL_CK,ChuoChakuCount,INTEGER,0,,0
NL_CK,SibaChoChaku,INTEGER,0,,0
NL_CK,SibaMigiChaku,INTEGER,0,,0
NL_CK,SibaHidariChaku,INTEGER,0,,0
NL_CK,DirtChoChaku,INTEGER,0,,0
NL_CK,DirtMigiChaku,INTEGER,0,,0
NL_CK,DirtHidariChaku,INTEGER,0,,0
NL_CK,SyogaiChaku,INTEGER,0,,0
NL_CK,SibaRyoChaku,INTEGER,0,,0
NL_CK,SibaYayaChaku,INTEGER,0,,0
NL_CK,SibaOmoChaku,INTEGER,0,,0
NL_CK,SibaFuChaku,INTEGER,0,,0
NL_CK,DirtRyoChaku,INTEGER,0,,0
NL_CK,DirtYayaChaku,INTEGER,0,,0
NL_CK,DirtOmoChaku,INTEGER,0,,0
NL_CK,DirtFuChaku,INTEGER,0,,0
NL_CK,SyogaiRyoChaku,INTEGER,0,,0
NL_CK,SyogaiYayaChaku,INTEGER,0,,0
NL_CK,SyogaiOmoChaku,INTEGER,0,,0
NL_CK,SyogaiFuChaku,INTEGER,0,,0
NL_CK,Siba1200IkaChaku,INTEGER,0,,0
NL_CK,Siba1201_1400Chaku,INTEGER,0,,0
NL_CK,Siba1401_1600Chaku,INTEGER,0,,0
NL_CK,Siba1601_1800Chaku,INTEGER,0,,0
NL_CK,Siba1801_2000Chaku,INTEGER,0,,0
NL_CK,Siba2001_2200Chaku,INTEGER,0,,0
NL_CK,Siba2201_2400Chaku,INTEGER,0,,0
NL_CK,Siba2401_2800Chaku,INTEGER,0,,0
NL_CK,Siba2801OverChaku,INTEGER,0,,0
NL_CK,Dirt1200IkaChaku,INTEGER,0,,0
NL_CK,Dirt1201_1400Chaku,INTEGER,0,,0
NL_CK,Dirt1401_1600Chaku,INTEGER,0,,0
NL_CK,Dirt1601_1800Chaku,INTEGER,0,,0
NL_CK,Dirt1801_2000Chaku,INTEGER,0,,0
NL_CK,Dirt2001_2200Chaku,INTEGER,0,,0
NL_CK,Dirt2201_2400Chaku,INTEGER,0,,0
NL_CK,Dirt2401_2800Chaku,INTEGER,0,,0
NL_CK,Dirt2801OverChaku,INTEGER,0,,0
NL_CK,SapporoSibaChaku,INTEGER,0,,0
NL_CK,HakodateSibaChaku,INTEGER,0,,0
NL_CK,FukushimaSibaChaku,INTEGER,0,,0
NL_CK,NiigataSibaChaku,INTEGER,0,,0
NL_CK,TokyoSibaChaku,INTEGER,0,,0
NL_CK,NakayamaSibaChaku,INTEGER,0,,0
NL_CK,ChukyoSibaChaku,INTEGER,0,,0
NL_CK,KyotoSibaChaku,INTEGER,0,,0
NL_CK,HanshinSibaChaku,INTEGER,0,,0
NL_CK,KokuraSibaChaku,INTEGER,0,,0
NL_CK,SapporoDirtChaku,INTEGER,0,,0
NL_CK,HakodateDirtChaku,INTEGER,0,,0
NL_CK,FukushimaDirtChaku,INTEGER,0,,0
NL_CK,NiigataDirtChaku,INTEGER,0,,0
NL_CK,TokyoDirtChaku,INTEGER,0,,0
NL_CK,NakayamaDirtChaku,INTEGER,0,,0
NL_CK,ChukyoDirtChaku,INTEGER,0,,0
NL_CK,KyotoDirtChaku,INTEGER,0,,0
NL_CK,HanshinDirtChaku,INTEGER,0,,0
NL_CK,KokuraDirtChaku,INTEGER,0,,0
NL_CK,SapporoSyogaiChaku,INTEGER,0,,0
NL_CK,HakodateSyogaiChaku,INTEGER,0,,0
NL_CK,FukushimaSyogaiChaku,INTEGER,0,,0
NL_CK,NiigataSyogaiChaku,INTEGER,0,,0
NL_CK,TokyoSyogaiChaku,INTEGER,0,,0
NL_CK,NakayamaSyogaiChaku,INTEGER,0,,0
NL_CK,ChukyoSyogaiChaku,INTEGER,0,,0
NL_CK,KyotoSyogaiChaku,INTEGER,0,,0
NL_CK,HanshinSyogaiChaku,INTEGER,0,,0
NL_CK,KokuraSyogaiChaku,INTEGER,0,,0
NL_CK,KyakusituKeiko,TEXT,0,,0
NL_CK,RegisteredRaceCount,INTEGER,0,,0
NL_CK,KisyuCode,TEXT,0,,0
NL_CK,KisyuName,TEXT,0,,0
NL_CK,KisyuResultsInfo,TEXT,0,,0
NL_CK,ChokyosiCode,TEXT,0,,0
NL_CK,ChokyosiName,TEXT,0,,0
NL_CK,ChokyosiResultsInfo,TEXT,0,,0
NL_CK,BanusiCode,TEXT,0,,0
NL_CK,BanusiName,TEXT,0,,0
NL_CK,BanusiName_Co,TEXT,0,,0
NL_CK,BanusiResultsInfo,TEXT,0,,0
NL_CK,BreederCode,TEXT,0,,0
NL_CK,BreederName,TEXT,0,,0
NL_CK,BreederName_Co,TEXT,0,,0
NL_CK,BreederResultsInfo,TEXT,0,,0
NL_CK,RecordDelimiter,TEXT,0,,0
NL_CS,RecordSpec,TEXT,0,,0
NL_CS,DataKubun,TEXT,0,,0
NL_CS,MakeDate,TEXT,0,,0
NL_CS,JyoCD,TEXT,0,,1
NL_CS,Kyori,INTEGER,0,,2
NL_CS,TrackCD,TEXT,0,,3
NL_CS,KaishuDate,TEXT,0,,0
NL_CS,CourseEx,TEXT,0,,0
NL_CS,RecordDelimiter,TEXT,0,,0
NL_DM,RecordSpec,TEXT,0,,0
NL_DM,DataKubun,TEXT,0,,0
NL_DM,MakeDate,TEXT,0,,0
NL_DM,Year,INTEGER,0,,1
NL_DM,MonthDay,INTEGER,0,,2
NL_DM,JyoCD,TEXT,0,,3
NL_DM,Kaiji,INTEGER,0,,4
NL_DM,Nichiji,INTEGER,0,,5
NL_DM,RaceNum,INTEGER,0,,6
NL_DM,MakeHM,TEXT,0,,0
NL_DM,Umaban,INTEGER,0,,7
NL_DM,DMTime,TEXT,0,,0
NL_DM,DMGosaP,TEXT,0,,0
NL_DM,DMGosaM,TEXT,0,,0
NL_DM,RecordDelimiter,TEXT,0,,0
NL_H1,RecordSpec,TEXT,0,,0
NL_H1,DataKubun,TEXT,0,,0
NL_H1,MakeDate,TEXT,0,,0
NL_H1,Year,INTEGER,0,,1
NL_H1,MonthDay,INTEGER,0,,2
NL_H1,JyoCD,TEXT,0,,3
NL_H1,Kaiji,INTEGER,0,,4
NL_H1,Nichiji,INTEGER,0,,5
