year,column_name,null_count,missing_rate,unique_count
2018,horse_last5_ren_rate,4814,0.09799691,12
2018,horse_last3_place_rate,4814,0.09799691,6
2018,horse_last5_place_rate,4814,0.09799691,12
2018,horse_last3_avg_ninki,4814,0.09799691,67
2018,horse_last5_avg_ninki,4814,0.09799691,160
2018,horse_last3_avg_tan_odds,22103,0.449943,4779
2018,horse_last5_avg_tan_odds,16684,0.33963032,6184
2018,horse_last3_avg_haron_l3,4814,0.09799691,975
2018,horse_last5_avg_haron_l3,4814,0.09799691,1859
2018,horse_last3_avg_time,4814,0.09799691,7614
2018,horse_last5_avg_time,4814,0.09799691,12311
2018,horse_distance_diff_last,4814,0.09799691,234
2018,horse_futan_diff_last,4814,0.09799691,27
2018,horse_body_weight_diff_last,5274,0.10736096,116
2018,horse_jyo_past_starts,0,0.0,20
2018,horse_jyo_win_rate,19184,0.39052194,47
2018,horse_jyo_place_rate,19184,0.39052194,76
2018,horse_surface_past_starts,0,0.0,44
2018,horse_surface_win_rate,8041,0.16368781,132
2018,horse_surface_place_rate,8041,0.16368781,261
2018,horse_dist_band_past_starts,0,0.0,33
2018,horse_dist_band_win_rate,15244,0.31031675,93
2018,horse_dist_band_place_rate,15244,0.31031675,157
2018,horse_baba_past_starts,0,0.0,44
2018,horse_baba_win_rate,4814,0.09799691,139
2018,horse_baba_place_rate,4814,0.09799691,268
2018,jockey_past_starts,0,0.0,2822
2018,jockey_win_rate,28,0.00056999,34033
2018,jockey_ren_rate,28,0.00056999,37975
2018,jockey_place_rate,28,0.00056999,39271
2018,trainer_past_starts,0,0.0,1549
2018,trainer_win_rate,29,0.00059034,20416
2018,trainer_ren_rate,29,0.00059034,25885
2018,trainer_place_rate,29,0.00059034,29103
2018,jockey_jyo_past_starts,0,0.0,1108
2018,jockey_jyo_win_rate,148,0.00301278,13820
2018,jockey_jyo_place_rate,148,0.00301278,18999
2018,jockey_dist_band_past_starts,0,0.0,793
2018,jockey_dist_band_win_rate,215,0.00437668,10486
2018,jockey_dist_band_place_rate,215,0.00437668,15734
2018,horse_jockey_past_starts,0,0.0,25
2018,horse_jockey_win_rate,25564,0.52039736,69
2018,horse_jockey_place_rate,25564,0.52039736,116
2019,horse_days_since_last,4979,0.10387416,421
2019,horse_past_starts,0,0.0,21
2019,horse_last1_avg_finish,4979,0.10387416,19
2019,horse_last3_avg_finish,4979,0.10387416,69
2019,horse_last5_avg_finish,4979,0.10387416,156
2019,horse_last3_win_rate,4979,0.10387416,6
2019,horse_last5_win_rate,4979,0.10387416,12
2019,horse_last3_ren_rate,4979,0.10387416,6
2019,horse_last5_ren_rate,4979,0.10387416,12
2019,horse_last3_place_rate,4979,0.10387416,6
2019,horse_last5_place_rate,4979,0.10387416,12
2019,horse_last3_avg_ninki,4979,0.10387416,69
2019,horse_last5_avg_ninki,4979,0.10387416,162
2019,horse_last3_avg_tan_odds,25128,0.52423174,3942
2019,horse_last5_avg_tan_odds,19448,0.405733,5198
2019,horse_last3_avg_haron_l3,4979,0.10387416,975
2019,horse_last5_avg_haron_l3,4979,0.10387416,1839
2019,horse_last3_avg_time,4979,0.10387416,7513
2019,horse_last5_avg_time,4979,0.10387416,12173
2019,horse_distance_diff_last,4979,0.10387416,241
2019,horse_futan_diff_last,4979,0.10387416,28
2019,horse_body_weight_diff_last,5264,0.10981996,119
2019,horse_jyo_past_starts,0,0.0,25
2019,horse_jyo_win_rate,18806,0.39233931,62
2019,horse_jyo_place_rate,18806,0.39233931,102
2019,horse_surface_past_starts,0,0.0,48
2019,horse_surface_win_rate,8021,0.16733774,175
2019,horse_surface_place_rate,8021,0.16733774,340
2019,horse_dist_band_past_starts,0,0.0,41
2019,horse_dist_band_win_rate,15039,0.31375044,113
2019,horse_dist_band_place_rate,15039,0.31375044,207
2019,horse_baba_past_starts,0,0.0,52
2019,horse_baba_win_rate,4979,0.10387416,184
2019,horse_baba_place_rate,4979,0.10387416,364
2019,jockey_past_starts,0,0.0,3742
2019,jockey_win_rate,23,0.00047984,36462
2019,jockey_ren_rate,23,0.00047984,39007
2019,jockey_place_rate,23,0.00047984,40189
2019,trainer_past_starts,0,0.0,2037
2019,trainer_win_rate,23,0.00047984,26407
2019,trainer_ren_rate,23,0.00047984,31630
2019,trainer_place_rate,23,0.00047984,34053
2019,jockey_jyo_past_starts,0,0.0,1390
2019,jockey_jyo_win_rate,148,0.00308764,16827
2019,jockey_jyo_place_rate,148,0.00308764,21841
2019,jockey_dist_band_past_starts,0,0.0,1062
2019,jockey_dist_band_win_rate,187,0.00390128,13583
2019,jockey_dist_band_place_rate,187,0.00390128,19655
2019,horse_jockey_past_starts,0,0.0,32
2019,horse_jockey_win_rate,24705,0.51540692,94
2019,horse_jockey_place_rate,24705,0.51540692,129
2020,horse_days_since_last,4889,0.10095608,411
2020,horse_past_starts,0,0.0,21
2020,horse_last1_avg_finish,4889,0.10095608,19
2020,horse_last3_avg_finish,4889,0.10095608,67
2020,horse_last5_avg_finish,4889,0.10095608,154
2020,horse_last3_win_rate,4889,0.10095608,6
2020,horse_last5_win_rate,4889,0.10095608,12
2020,horse_last3_ren_rate,4889,0.10095608,6
2020,horse_last5_ren_rate,4889,0.10095608,12
2020,horse_last3_place_rate,4889,0.10095608,6
2020,horse_last5_place_rate,4889,0.10095608,12
2020,horse_last3_avg_ninki,4889,0.10095608,69
2020,horse_last5_avg_ninki,4889,0.10095608,162
2020,horse_last3_avg_tan_odds,27781,0.57366758,3430
2020,horse_last5_avg_tan_odds,22182,0.45805026,4409
2020,horse_last3_avg_haron_l3,4889,0.10095608,942
2020,horse_last5_avg_haron_l3,4889,0.10095608,1848
2020,horse_last3_avg_time,4889,0.10095608,7643
2020,horse_last5_avg_time,4889,0.10095608,12261
2020,horse_distance_diff_last,4889,0.10095608,233
2020,horse_futan_diff_last,4889,0.10095608,28
2020,horse_body_weight_diff_last,5001,0.10326884,111
2020,horse_jyo_past_starts,0,0.0,29
2020,horse_jyo_win_rate,18632,0.38474405,71
2020,horse_jyo_place_rate,18632,0.38474405,111
2020,horse_surface_past_starts,0,0.0,57
2020,horse_surface_win_rate,7978,0.16474281,211
2020,horse_surface_place_rate,7978,0.16474281,396
2020,horse_dist_band_past_starts,0,0.0,45
2020,horse_dist_band_win_rate,15114,0.31209862,130
2020,horse_dist_band_place_rate,15114,0.31209862,235
2020,horse_baba_past_starts,0,0.0,63
2020,horse_baba_win_rate,4889,0.10095608,230
2020,horse_baba_place_rate,4889,0.10095608,435
2020,jockey_past_starts,0,0.0,4586
2020,jockey_win_rate,17,0.00035104,39244
2020,jockey_ren_rate,17,0.00035104,41816
2020,jockey_place_rate,17,0.00035104,42866
2020,trainer_past_starts,0,0.0,2367
2020,trainer_win_rate,16,0.00033039,31424
2020,trainer_ren_rate,16,0.00033039,35564
2020,trainer_place_rate,16,0.00033039,37771
2020,jockey_jyo_past_starts,0,0.0,1660
2020,jockey_jyo_win_rate,82,0.00169327,18979
2020,jockey_jyo_place_rate,82,0.00169327,24375
2020,jockey_dist_band_past_starts,0,0.0,1292
2020,jockey_dist_band_win_rate,104,0.00214756,16333
2020,jockey_dist_band_place_rate,104,0.00214756,22692
2020,horse_jockey_past_starts,0,0.0,45
2020,horse_jockey_win_rate,24775,0.51159477,97
2020,horse_jockey_place_rate,24775,0.51159477,150
2021,horse_days_since_last,4690,0.09807407,423
2021,horse_past_starts,0,0.0,21
2021,horse_last1_avg_finish,4690,0.09807407,19
2021,horse_last3_avg_finish,4690,0.09807407,67
2021,horse_last5_avg_finish,4690,0.09807407,153
2021,horse_last3_win_rate,4690,0.09807407,6
2021,horse_last5_win_rate,4690,0.09807407,12
2021,horse_last3_ren_rate,4690,0.09807407,6
2021,horse_last5_ren_rate,4690,0.09807407,12
2021,horse_last3_place_rate,4690,0.09807407,6
2021,horse_last5_place_rate,4690,0.09807407,12
2021,horse_last3_avg_ninki,4690,0.09807407,69
2021,horse_last5_avg_ninki,4690,0.09807407,163
2021,horse_last3_avg_tan_odds,21561,0.45086887,4450
2021,horse_last5_avg_tan_odds,16827,0.3518747,5597
2021,horse_last3_avg_haron_l3,4690,0.09807407,950
2021,horse_last5_avg_haron_l3,4690,0.09807407,1823
2021,horse_last3_avg_time,4690,0.09807407,7685
2021,horse_last5_avg_time,4690,0.09807407,12457
2021,horse_distance_diff_last,4690,0.09807407,235
2021,horse_futan_diff_last,4690,0.09807407,25
2021,horse_body_weight_diff_last,4690,0.09807407,108
2021,horse_jyo_past_starts,0,0.0,29
2021,horse_jyo_win_rate,18538,0.38765396,62
2021,horse_jyo_place_rate,18538,0.38765396,110
2021,horse_surface_past_starts,0,0.0,60
2021,horse_surface_win_rate,7789,0.16287823,230
2021,horse_surface_place_rate,7789,0.16287823,421
2021,horse_dist_band_past_starts,0,0.0,41
2021,horse_dist_band_win_rate,14569,0.30465695,133
2021,horse_dist_band_place_rate,14569,0.30465695,223
2021,horse_baba_past_starts,0,0.0,64
2021,horse_baba_win_rate,4690,0.09807407,253
2021,horse_baba_place_rate,4690,0.09807407,492
2021,jockey_past_starts,0,0.0,5407
2021,jockey_win_rate,15,0.00031367,39622
2021,jockey_ren_rate,15,0.00031367,41410
2021,jockey_place_rate,15,0.00031367,42346
2021,trainer_past_starts,0,0.0,2713
2021,trainer_win_rate,16,0.00033458,33199
2021,trainer_ren_rate,16,0.00033458,36965
2021,trainer_place_rate,16,0.00033458,38502
2021,jockey_jyo_past_starts,0,0.0,1950
2021,jockey_jyo_win_rate,90,0.00188202,19374
2021,jockey_jyo_place_rate,90,0.00188202,25103
2021,jockey_dist_band_past_starts,0,0.0,1462
2021,jockey_dist_band_win_rate,110,0.00230024,18817
2021,jockey_dist_band_place_rate,110,0.00230024,24633
2021,horse_jockey_past_starts,0,0.0,39
2021,horse_jockey_win_rate,24272,0.50755944,98
2021,horse_jockey_place_rate,24272,0.50755944,136
