race_id,year,JyoCD,se_runner_rows,o1_runner_rows,ra_toroku_tosu,ra_syusso_tosu,o1_toroku_tosu,o1_syusso_tosu,missing_o1_rows,valid_tan_rows,has_count_anomaly
2016011606010508,2016,06,16,16,16,16,16,16,0,0,0
2016011606010509,2016,06,15,15,15,15,15,15,0,0,0
2016011606010510,2016,06,16,16,16,16,16,16,0,0,0
2016011606010511,2016,06,16,16,16,16,16,16,0,0,0
2016011606010512,2016,06,16,16,16,16,16,16,0,0,0
2016011607010101,2016,07,16,16,16,16,16,16,0,0,0
2016011607010102,2016,07,16,16,16,16,16,16,0,0,0
2016011607010103,2016,07,16,16,16,16,16,16,0,0,0
2016011607010104,2016,07,14,14,14,14,14,14,0,0,0
2016011607010105,2016,07,14,14,14,14,14,14,0,0,0
2016011607010106,2016,07,14,14,14,14,14,14,0,0,0
2016011607010107,2016,07,16,16,16,16,16,16,0,0,0
2016011607010108,2016,07,16,16,16,16,16,16,0,0,0
2016011607010109,2016,07,17,17,17,17,17,17,0,0,0
2016011607010110,2016,07,18,18,18,18,18,18,0,0,0
2016011607010111,2016,07,18,18,18,18,18,18,0,0,0
2016011607010112,2016,07,16,16,16,16,16,16,0,12,0
2016011608010501,2016,08,15,15,15,15,15,15,0,15,0
2016011608010502,2016,08,16,16,16,16,16,16,0,16,0
2016011608010503,2016,08,16,16,16,16,16,16,0,16,0
2016011608010504,2016,08,16,16,16,16,16,16,0,16,0
2016011608010505,2016,08,16,16,16,16,16,16,0,16,0
2016011608010506,2016,08,14,14,14,14,14,14,0,14,0
2016011608010507,2016,08,12,12,12,12,12,12,0,12,0
2016011608010508,2016,08,16,16,16,16,16,16,0,16,0
2016011608010509,2016,08,12,12,12,12,12,12,0,12,0
2016011608010510,2016,08,14,14,14,14,14,14,0,14,0
2016011608010511,2016,08,14,14,14,13,14,13,0,13,1
2016011608010512,2016,08,13,13,13,13,13,13,0,13,0
2016011706010601,2016,06,16,16,16,16,16,16,0,16,0
2016011706010602,2016,06,16,16,16,16,16,16,0,16,0
2016011706010603,2016,06,16,16,16,16,16,16,0,16,0
2016011706010604,2016,06,15,15,15,15,15,15,0,15,0
2016011706010605,2016,06,16,16,16,16,16,16,0,16,0
2016011706010606,2016,06,16,16,16,16,16,16,0,16,0
2016011706010607,2016,06,16,16,16,16,16,16,0,16,0
2016011706010608,2016,06,16,16,16,16,16,16,0,16,0
2016011706010609,2016,06,14,14,14,14,14,14,0,14,0
2016011706010610,2016,06,10,10,10,10,10,10,0,10,0
2016011706010611,2016,06,15,15,15,15,15,15,0,15,0
2016011706010612,2016,06,16,16,16,16,16,16,0,16,0
2016011707010201,2016,07,16,16,16,16,16,16,0,16,0
2016011707010202,2016,07,16,16,16,16,16,16,0,16,0
2016011707010203,2016,07,16,16,16,16,16,16,0,16,0
2016011707010204,2016,07,14,14,14,14,14,14,0,14,0
2016011707010205,2016,07,18,18,18,18,18,18,0,18,0
2016011707010206,2016,07,16,16,16,16,16,16,0,16,0
2016011707010207,2016,07,10,10,10,10,10,10,0,10,0
2016011707010208,2016,07,12,12,12,12,12,12,0,12,0
2016011707010209,2016,07,18,18,18,18,18,18,0,18,0
2016011707010210,2016,07,16,16,16,16,16,16,0,16,0
2016011707010211,2016,07,13,13,13,13,13,13,0,13,0
2016011707010212,2016,07,13,13,13,13,13,13,0,13,0
2016011708010601,2016,08,16,16,16,16,16,16,0,16,0
2016011708010602,2016,08,16,16,16,16,16,16,0,16,0
