race_id,year,JyoCD,se_runner_rows,o1_runner_rows,ra_toroku_tosu,ra_syusso_tosu,o1_toroku_tosu,o1_syusso_tosu,missing_o1_rows,valid_tan_rows,has_count_anomaly
2016072307030707,2016,07,16,16,16,13,16,13,0,0,1
2016072402020603,2016,02,11,11,11,10,11,10,0,10,1
2016072402020604,2016,02,15,15,15,14,15,14,0,14,1
2016072402020612,2016,02,16,16,16,15,16,15,0,15,1
2016080604020310,2016,04,17,17,17,16,17,16,0,0,1
2016080610020310,2016,10,16,16,16,15,16,15,0,0,1
2016080710020403,2016,10,16,16,16,15,16,15,0,15,1
2016081310020501,2016,10,17,17,17,15,17,15,0,0,1
2016081310020504,2016,10,18,18,18,16,18,16,0,0,1
2016081310020506,2016,10,18,18,18,16,18,16,0,0,1
2016081404020605,2016,04,18,18,18,17,18,17,0,17,1
2016081404020606,2016,04,15,15,15,14,15,14,0,14,1
2016082104020801,2016,04,18,18,18,17,18,17,0,17,1
2016082110020811,2016,10,13,13,13,12,13,12,0,0,1
2016082701020304,2016,01,13,13,13,12,13,12,0,0,1
2016082710020911,2016,10,16,16,16,15,16,15,0,15,1
2016082801020409,2016,01,13,13,13,12,13,12,0,12,1
2016082801020410,2016,01,14,14,14,13,14,13,0,13,1
2016082810021007,2016,10,16,16,16,15,16,15,0,0,1
2016090304021103,2016,04,15,15,15,14,15,14,0,14,1
2016090410021203,2016,10,14,14,14,13,14,13,0,0,1
2016091106040207,2016,06,16,16,16,15,16,15,0,0,1
2016091106040211,2016,06,16,16,16,15,16,15,0,0,1
2016091109040202,2016,09,18,18,18,17,18,17,0,0,1
2016091709040301,2016,09,16,16,16,15,16,15,0,0,1
2016091709040305,2016,09,17,17,17,16,17,16,0,0,1
2016091709040307,2016,09,16,16,16,15,16,15,0,0,1
2016091806040407,2016,06,16,16,16,15,16,15,0,0,1
2016092406040509,2016,06,12,12,12,11,12,11,0,11,1
2016092406040512,2016,06,17,17,17,15,17,15,0,15,1
2016092409040501,2016,09,16,16,16,15,16,15,0,15,1
2016100106040706,2016,06,16,16,16,15,16,15,0,15,1
2016100206040803,2016,06,16,16,16,15,16,15,0,0,1
2016100206040804,2016,06,15,15,15,14,15,14,0,0,1
2016100209040805,2016,09,14,14,14,13,14,13,0,0,1
2016100209040811,2016,09,14,14,14,13,14,13,0,0,1
2016100808040112,2016,08,16,16,16,15,16,15,0,0,1
2016101504030109,2016,04,18,18,18,17,18,17,0,0,1
2016101608040502,2016,08,13,13,13,12,13,12,0,12,1
2016101608040504,2016,08,11,11,11,10,11,10,0,10,1
2016102305040706,2016,05,15,15,15,14,15,14,0,0,1
2016102905040812,2016,05,16,16,16,15,16,15,0,0,1
2016103008040901,2016,08,16,16,16,15,16,15,0,0,1
2016103008040903,2016,08,11,11,11,10,11,10,0,0,1
2016110503030111,2016,03,16,16,16,15,16,15,0,0,1
2016110508050102,2016,08,14,14,14,13,14,13,0,0,1
2016111203030311,2016,03,15,15,15,14,15,14,0,0,1
2016111205050308,2016,05,18,18,18,17,18,17,0,0,1
2016111905050504,2016,05,16,16,16,15,16,15,0,0,1
2016111905050509,2016,05,16,16,16,15,16,15,0,0,1
2016111908050506,2016,08,15,15,15,13,15,13,0,0,1
2016112003030601,2016,03,15,15,15,14,15,14,0,0,1
