RecordSpec,DataKubun,TanFlag,FukuFlag,HassoTime,rows,valid_tan_rows,valid_fuku_rows,race_count,tan_valid_rate,fuku_valid_rate
O1,5,7,7,00000000,537421,142925,142925,36054,0.2659460646308946,0.2659460646308946
O1,9,7,7,00000000,837,0,0,56,0.0,0.0
O1,9,3,3,00000000,34,0,0,2,0.0,0.0
