target,feature_set,importance_type,feature,importance,sample_rows
place,market_aware,mean_abs_shap,tan_odds,0.175513476638,5000
place,market_aware,mean_abs_shap,trainer_past_starts,0.023656222813,5000
place,market_aware,mean_abs_shap,trainer_ren_rate,0.014158582574,5000
place,market_aware,mean_abs_shap,trainer_top3_rate,0.015062607024,5000
place,market_aware,mean_abs_shap,trainer_win_rate,0.016884544479,5000
place,market_aware,mean_abs_shap,win_odds_available,0.025915244769,5000
place,market_aware,mean_abs_shap,win_votes_available,0.02422195731,5000
place,market_free,mean_abs_shap,BaTaijyu,0.120717288172,5000
place,market_free,mean_abs_shap,Barei,0.052266478421,5000
place,market_free,mean_abs_shap,ChokyosiCode,0.061699762996,5000
place,market_free,mean_abs_shap,CourseKubunCD,0.022029144127,5000
place,market_free,mean_abs_shap,DirtBabaCD,0.0,5000
place,market_free,mean_abs_shap,Futan,0.007927057707,5000
place,market_free,mean_abs_shap,GradeCD,0.044864856193,5000
place,market_free,mean_abs_shap,JyoCD,0.055458436586,5000
place,market_free,mean_abs_shap,JyokenCD1,0.002666930811,5000
place,market_free,mean_abs_shap,JyokenCD2,0.017304010272,5000
place,market_free,mean_abs_shap,JyokenCD3,0.014092205359,5000
place,market_free,mean_abs_shap,JyokenCD4,0.009544294665,5000
place,market_free,mean_abs_shap,JyokenCD5,0.059225594456,5000
place,market_free,mean_abs_shap,Kaiji,0.008752453735,5000
place,market_free,mean_abs_shap,KisyuCode,0.071353895609,5000
place,market_free,mean_abs_shap,Kyori,0.074588866176,5000
place,market_free,mean_abs_shap,MonthDay,0.047866938243,5000
place,market_free,mean_abs_shap,Nichiji,0.015082607141,5000
place,market_free,mean_abs_shap,RaceNum,0.019328866026,5000
place,market_free,mean_abs_shap,SexCD,0.022449117287,5000
place,market_free,mean_abs_shap,SibaBabaCD,0.0,5000
place,market_free,mean_abs_shap,SyubetuCD,0.011608433532,5000
place,market_free,mean_abs_shap,SyussoTosu,0.089432774955,5000
place,market_free,mean_abs_shap,TenkoCD,0.027519508339,5000
place,market_free,mean_abs_shap,TorokuTosu,0.095005141304,5000
place,market_free,mean_abs_shap,TrackCD,0.014621913801,5000
place,market_free,mean_abs_shap,Umaban,0.011365144916,5000
place,market_free,mean_abs_shap,Wakuban,0.009474412379,5000
place,market_free,mean_abs_shap,Year,0.008113306753,5000
place,market_free,mean_abs_shap,YoubiCD,0.008304104824,5000
place,market_free,mean_abs_shap,ZogenFugo,0.003380037693,5000
place,market_free,mean_abs_shap,ZogenSa,0.009138088693,5000
place,market_free,mean_abs_shap,horse_baba_past_starts,0.018973742545,5000
place,market_free,mean_abs_shap,horse_baba_top3_rate,0.007274350636,5000
place,market_free,mean_abs_shap,horse_baba_win_rate,0.033594753563,5000
place,market_free,mean_abs_shap,horse_body_weight_diff_last,0.00777769367,5000
place,market_free,mean_abs_shap,horse_days_since_last,0.066689844471,5000
place,market_free,mean_abs_shap,horse_dist_band_past_starts,0.00274079947,5000
place,market_free,mean_abs_shap,horse_dist_band_top3_rate,0.024367771838,5000
place,market_free,mean_abs_shap,horse_dist_band_win_rate,0.003275073088,5000
place,market_free,mean_abs_shap,horse_distance_diff_last,0.051235416989,5000
place,market_free,mean_abs_shap,horse_futan_diff_last,0.015423845069,5000
place,market_free,mean_abs_shap,horse_jockey_past_starts,0.00799469984,5000
place,market_free,mean_abs_shap,horse_jockey_top3_rate,0.024435537139,5000
place,market_free,mean_abs_shap,horse_jockey_win_rate,0.002255138148,5000
place,market_free,mean_abs_shap,horse_jyo_past_starts,0.00222770583,5000
place,market_free,mean_abs_shap,horse_jyo_top3_rate,0.030866289248,5000
place,market_free,mean_abs_shap,horse_jyo_win_rate,0.007839719352,5000
place,market_free,mean_abs_shap,horse_last1_avg_finish,0.205100669406,5000
place,market_free,mean_abs_shap,horse_last3_avg_finish,0.162247766112,5000
place,market_free,mean_abs_shap,horse_last3_avg_haron_l3,0.048635665298,5000
place,market_free,mean_abs_shap,horse_last3_avg_time,0.03566152888,5000
place,market_free,mean_abs_shap,horse_last3_place_paid_rate,0.015625531116,5000
place,market_free,mean_abs_shap,horse_last3_ren_rate,0.021981904836,5000
place,market_free,mean_abs_shap,horse_last3_top3_rate,0.008123299479,5000
place,market_free,mean_abs_shap,horse_last3_win_rate,0.06609383979,5000
place,market_free,mean_abs_shap,horse_last5_avg_finish,0.131769862514,5000
place,market_free,mean_abs_shap,horse_last5_avg_haron_l3,0.077057393674,5000
place,market_free,mean_abs_shap,horse_last5_avg_time,0.022601242124,5000
place,market_free,mean_abs_shap,horse_last5_place_paid_rate,0.003901296274,5000
place,market_free,mean_abs_shap,horse_last5_ren_rate,0.043843356755,5000
place,market_free,mean_abs_shap,horse_last5_top3_rate,0.015327166488,5000
place,market_free,mean_abs_shap,horse_last5_win_rate,0.040811852054,5000
place,market_free,mean_abs_shap,horse_past_starts,0.022746650397,5000
place,market_free,mean_abs_shap,horse_surface_past_starts,0.021797721413,5000
place,market_free,mean_abs_shap,horse_surface_top3_rate,0.144823992703,5000
place,market_free,mean_abs_shap,horse_surface_win_rate,0.031997974902,5000
place,market_free,mean_abs_shap,jockey_dist_band_past_starts,0.005377112665,5000
place,market_free,mean_abs_shap,jockey_dist_band_top3_rate,0.04815160237,5000
place,market_free,mean_abs_shap,jockey_dist_band_win_rate,0.00272202909,5000
place,market_free,mean_abs_shap,jockey_jyo_past_starts,0.007670516686,5000
place,market_free,mean_abs_shap,jockey_jyo_top3_rate,0.047502652174,5000
place,market_free,mean_abs_shap,jockey_jyo_win_rate,0.015916092639,5000
place,market_free,mean_abs_shap,jockey_past_starts,0.016719660902,5000
place,market_free,mean_abs_shap,jockey_ren_rate,0.053419184544,5000
place,market_free,mean_abs_shap,jockey_top3_rate,0.025938366529,5000
place,market_free,mean_abs_shap,jockey_win_rate,0.012940323877,5000
place,market_free,mean_abs_shap,place_bet_available_by_rule,0.0,5000
place,market_free,mean_abs_shap,place_rank_limit,0.000478885754,5000
place,market_free,mean_abs_shap,trainer_past_starts,0.025412838714,5000
place,market_free,mean_abs_shap,trainer_ren_rate,0.025560046546,5000
place,market_free,mean_abs_shap,trainer_top3_rate,0.026063598791,5000
place,market_free,mean_abs_shap,trainer_win_rate,0.026287875535,5000
place,market_history,mean_abs_shap,BaTaijyu,0.111440986162,5000
place,market_history,mean_abs_shap,Barei,0.044383721027,5000
place,market_history,mean_abs_shap,ChokyosiCode,0.058540537824,5000
place,market_history,mean_abs_shap,CourseKubunCD,0.030131723699,5000
place,market_history,mean_abs_shap,DirtBabaCD,0.0,5000
place,market_history,mean_abs_shap,Futan,0.010827247539,5000
place,market_history,mean_abs_shap,GradeCD,0.047161260518,5000
place,market_history,mean_abs_shap,JyoCD,0.058381990009,5000
place,market_history,mean_abs_shap,JyokenCD1,0.005136656558,5000
place,market_history,mean_abs_shap,JyokenCD2,0.014498789051,5000
place,market_history,mean_abs_shap,JyokenCD3,0.013013782571,5000
place,market_history,mean_abs_shap,JyokenCD4,0.011081630128,5000
place,market_history,mean_abs_shap,JyokenCD5,0.0530301819,5000
place,market_history,mean_abs_shap,Kaiji,0.011918218652,5000
place,market_history,mean_abs_shap,KisyuCode,0.078597810456,5000
place,market_history,mean_abs_shap,Kyori,0.071064779684,5000
place,market_history,mean_abs_shap,MonthDay,0.065386639801,5000
place,market_history,mean_abs_shap,Nichiji,0.019103764424,5000
place,market_history,mean_abs_shap,RaceNum,0.017692730175,5000
place,market_history,mean_abs_shap,SexCD,0.02344306828,5000
place,market_history,mean_abs_shap,SibaBabaCD,0.0,5000
place,market_history,mean_abs_shap,SyubetuCD,0.013175861399,5000
place,market_history,mean_abs_shap,SyussoTosu,0.10583446879,5000
