data_split,race_count,mean,median,std,min,max,target,feature_set
latest_holdout,1506,2.728002552568,2.721678352411,0.523642762781,1.168037485194,4.828486112357,place,market_aware
test,3455,2.727819906997,2.725264719174,0.539883878984,0.695396393321,5.28305260963,place,market_aware
train,27639,2.98899311676,2.985202586582,0.527320787125,0.771204726013,6.250536060857,place,market_aware
validation,3454,2.811889028211,2.805585603743,0.534475192439,0.922391221807,5.167544536305,place,market_aware
latest_holdout,1506,2.761185901777,2.733815866512,0.596533108772,1.144053578037,4.848630903363,place,market_free
test,3455,2.755410359186,2.742885651153,0.598176430015,0.644693534528,5.371414265537,place,market_free
train,27639,2.986651521865,2.969603447575,0.601147498479,0.720760755476,6.078157722532,place,market_free
validation,3454,2.830184885061,2.811358449153,0.594247908638,0.86747530429,5.068586270804,place,market_free
latest_holdout,1506,2.652390142834,2.62326068102,0.59337173459,1.056298971692,4.631185598299,place,market_history
test,3455,2.680942889388,2.675529416059,0.596269739982,0.552181521049,5.318563921385,place,market_history
train,27639,2.98785216471,2.97629570351,0.60019787713,0.727926765428,6.031987912402,place,market_history
validation,3454,2.783539889312,2.757409449766,0.593155421908,0.680520110928,5.166767928026,place,market_history
latest_holdout,1506,0.93193803508,0.912582392724,0.23813763823,0.278644879049,1.929538085102,win,market_aware
test,3455,0.928073790153,0.911523345823,0.240597642351,0.221069458086,2.292877260064,win,market_aware
train,27639,0.988899411729,0.974736200082,0.243068109673,0.179795878873,2.421785954072,win,market_aware
validation,3454,0.955047423721,0.936611169614,0.246449120979,0.289747495746,2.066850275526,win,market_aware
latest_holdout,1506,0.951477052557,0.923405272848,0.272705873167,0.319184081022,2.008101411635,win,market_free
test,3455,0.948439894005,0.926200950301,0.271871569967,0.229633748765,2.252329911975,win,market_free
train,27639,0.991745330366,0.971514702137,0.274975567538,0.167524065918,2.39568128901,win,market_free
validation,3454,0.970728081481,0.945123502524,0.277217058065,0.29877718609,2.339601017632,win,market_free
latest_holdout,1506,0.921361173578,0.895053149737,0.270551176554,0.262619126426,1.981953954909,win,market_history
test,3455,0.921540028051,0.899479859581,0.274606101608,0.209328194829,2.310063616722,win,market_history
train,27639,0.98403855298,0.962811947736,0.277994605488,0.152095283414,2.376061639062,win,market_history
validation,3454,0.949756939791,0.92162866466,0.278565326108,0.249164317858,2.459586243762,win,market_history
