race_id,data_split,expected_runner_count,unique_entry_id_count,invalid_actual_count,missing_odds_count,invalid_odds_count,missing_prediction_count,actual_positive_count,valid_runner_count,duplicate_entry_id_count,market_exclusion_reason,is_complete_market_race,valid_odds_runner_count,valid_prediction_runner_count
2026011108010412,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026011206010501,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011206010502,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011206010503,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011206010504,latest_holdout,14,14,0,14,0,0,1,0,0,missing_odds_runner,false,0,0
2026011206010505,latest_holdout,15,15,0,15,0,0,1,0,0,missing_odds_runner,false,0,0
2026011206010506,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026011206010507,latest_holdout,14,14,0,14,0,0,1,0,0,missing_odds_runner,false,0,0
2026011206010508,latest_holdout,11,11,0,11,0,0,1,0,0,missing_odds_runner,false,0,0
2026011206010509,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011206010510,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011206010511,latest_holdout,14,14,0,14,0,0,1,0,0,missing_odds_runner,false,0,0
2026011206010512,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026011208010501,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011208010502,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011208010503,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011208010504,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011208010505,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026011208010506,latest_holdout,9,9,0,9,0,0,1,0,0,missing_odds_runner,false,0,0
2026011208010507,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011208010508,latest_holdout,15,15,0,15,0,0,1,0,0,missing_odds_runner,false,0,0
2026011208010509,latest_holdout,12,12,0,12,0,0,1,0,0,missing_odds_runner,false,0,0
2026011208010510,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011208010511,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011208010512,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026011706010601,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011706010602,latest_holdout,15,15,0,15,0,0,1,0,0,missing_odds_runner,false,0,0
2026011706010603,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011706010604,latest_holdout,12,12,0,12,0,0,1,0,0,missing_odds_runner,false,0,0
2026011706010605,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026011706010606,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011706010607,latest_holdout,12,12,0,12,0,0,1,0,0,missing_odds_runner,false,0,0
2026011706010608,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011706010609,latest_holdout,8,8,0,8,0,0,1,0,0,missing_odds_runner,false,0,0
2026011706010610,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011706010611,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011706010612,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011708010601,latest_holdout,10,10,0,10,0,0,1,0,0,missing_odds_runner,false,0,0
2026011708010602,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011708010603,latest_holdout,13,13,0,13,0,0,1,0,0,missing_odds_runner,false,0,0
2026011708010604,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011708010605,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026011708010606,latest_holdout,8,8,0,8,0,0,1,0,0,missing_odds_runner,false,0,0
2026011708010607,latest_holdout,15,15,0,15,0,0,1,0,0,missing_odds_runner,false,0,0
2026011708010608,latest_holdout,8,8,0,8,0,0,1,0,0,missing_odds_runner,false,0,0
2026011708010609,latest_holdout,10,10,0,10,0,0,1,0,0,missing_odds_runner,false,0,0
