year,mean_SyussoTosu,mean_fuku_odds_low,mean_fuku_pay
2006,14.560822445052162,10.334154110008576,74.66342550389952
2007,14.52783085993088,9.990626793473805,73.55031510469608
2008,14.767167339895682,10.187143283879319,75.93435036668104
2009,14.95038802660754,10.403712462984677,75.71171206841939
2010,14.733828775267538,10.590818719310553,76.11732065001982
2011,14.603553896709805,10.943651847162375,74.94685382774149
2012,14.773203279277123,10.274105474635862,77.64286996589072
2013,14.69363717076058,10.750129255926733,74.66015586465424
2014,14.669223113400855,9.936269543714102,72.86478153113596
2015,14.846915506481038,9.356906587451327,73.30732917266762
2016,14.872214234363767,9.662234021238229,72.83109673296589
2017,14.549379991171396,9.286976072271507,71.96436454111321
2018,14.401840241022718,9.967792620733796,71.4151942024265
2019,14.176621534224855,9.207295384940332,72.44862620741452
2020,14.420447271150392,9.081760757994473,74.06199021207178
2021,14.351100980740679,9.079204783885858,72.66577445055519
2022,14.20154595510377,8.98214179453394,73.02054214315967
2023,14.314985735861722,9.319743962268124,72.18346199026682
2024,14.217762433279674,9.277303485551347,72.79462848428366
2025,14.37336135502934,9.129106151105523,70.50751175662741
2026,14.001377777777778,10.032506319632994,66.07155555555556
