rows,positive,negative,positive_rate,pred_probability_mean,logloss,brier,roc_auc,pr_auc,auc_reason,data_split,target,feature_set
383401,27682,355719,0.07220116796774134,0.07149394285876241,0.21321830206927775,0.05854619216534128,0.8068658496888371,0.3216005892744792,"",train,win,market_free
46752,3460,43292,0.07400752908966461,0.07171660663578304,0.2249306644458592,0.06207163109879364,0.7866898808948402,0.24493138551557075,"",validation,win,market_free
47497,3461,44036,0.072867760069057,0.06899088013531086,0.22438861251316097,0.06172909388198849,0.7821332466050668,0.2276839958540946,"",test,win,market_free
21276,1507,19769,0.0708309832675315,0.06734933451542602,0.21892299257925263,0.060315905841369366,0.7887514528705688,0.2191286979144672,"",latest_holdout,win,market_free
383401,27682,355719,0.07220116796774134,0.07093836887697351,0.2088705011836003,0.05744325050223235,0.8177716237642583,0.35533628652179927,"",train,win,market_history
46752,3460,43292,0.07400752908966461,0.07016727562536547,0.2241888466662181,0.06201764517459984,0.7896089480281504,0.24493906715148023,"",validation,win,market_history
47497,3461,44036,0.072867760069057,0.06703414524948134,0.22392482316231424,0.06171321592232334,0.7845192209499783,0.22732550698357962,"",test,win,market_history
21276,1507,19769,0.0708309832675315,0.06521761268134323,0.21824620828204255,0.060223590452210714,0.7920575547373089,0.22187175727352867,"",latest_holdout,win,market_history
383401,27682,355719,0.07220116796774134,0.07128878339073183,0.20409072933656142,0.056297888235447235,0.8293940547328339,0.3727547089413743,"",train,win,market_aware
46752,3460,43292,0.07400752908966461,0.07055813230517743,0.22020025230745513,0.06117319826844773,0.8012753227311351,0.263279447105469,"",validation,win,market_aware
47497,3461,44036,0.072867760069057,0.06750942048928511,0.22015526074444683,0.06098923781389622,0.7962749161471181,0.2446808038915932,"",test,win,market_aware
21276,1507,19769,0.0708309832675315,0.0659662850550071,0.2142722266211605,0.05922615085959151,0.8020460136742615,0.24684500312610244,"",latest_holdout,win,market_aware
383401,82522,300879,0.2152367886364407,0.2153047629318225,0.4191159097786975,0.13381241113785325,0.797682385828575,0.5416231997327352,"",train,place,market_free
46752,10274,36478,0.21975530458590006,0.209091773464219,0.4394953072794958,0.14177948806151805,0.7758351430148329,0.4965263098211621,"",validation,place,market_free
47497,10276,37221,0.21635050634776934,0.2004325071264812,0.4396906105196398,0.14156350207751237,0.7711204630911227,0.4845894556728748,"",test,place,market_free
21276,4500,16776,0.21150592216582065,0.19544773303612337,0.422433244257587,0.1358465809768831,0.790756133100196,0.5011809379897216,"",latest_holdout,place,market_free
383401,82522,300879,0.2152367886364407,0.21539131609048895,0.40918999493211616,0.1301451297775726,0.8108659184312479,0.5712241035461015,"",train,place,market_history
46752,10274,36478,0.21975530458590006,0.20564567885186333,0.4379362552386276,0.14130318356271054,0.7783872104458458,0.4997237272451357,"",validation,place,market_history
47497,10276,37221,0.21635050634776934,0.19501563641567174,0.4393336843262485,0.14152958075945235,0.7723874736643194,0.48628165342710516,"",test,place,market_history
21276,4500,16776,0.21150592216582065,0.18774673599867406,0.4217802087383956,0.13566598586631456,0.7925856779526307,0.5046970579207561,"",latest_holdout,place,market_history
383401,82522,300879,0.2152367886364407,0.21547356619864316,0.40531227383286644,0.12905212645149686,0.8146335069145024,0.5738529933078617,"",train,place,market_aware
46752,10274,36478,0.21975530458590006,0.2077400903370784,0.43070488744771573,0.13884212528240053,0.7881306358952913,0.5152749410068012,"",validation,place,market_aware
47497,10276,37221,0.21635050634776934,0.1984255380060601,0.43126622897289213,0.13880684942336313,0.7830878500020952,0.5050352213409413,"",test,place,market_aware
21276,4500,16776,0.21150592216582065,0.19309888344463685,0.4131595860982866,0.1324313550345826,0.8020214194881576,0.5290980689359728,"",latest_holdout,place,market_aware
