target,feature_set,best_iteration,validation_logloss,test_logloss,latest_holdout_logloss,artifact_origin
win,market_free,504,0.2249306644458592,0.22438861251316097,0.21892299257925263,reused_from_v1
win,market_history,736,0.2241888466662181,0.22392482316231424,0.21824620828204255,reused_from_v1
win,market_aware,791,0.22020025230745513,0.22015526074444683,0.2142722266211605,reused_from_v1
place,market_free,629,0.4394953072794958,0.4396906105196398,0.422433244257587,reused_from_v1
place,market_history,975,0.4379362552386276,0.4393336843262485,0.4217802087383956,reused_from_v1
place,market_aware,866,0.43070488744771573,0.43126622897289213,0.4131595860982866,reused_from_v1
