data_split,bin,rows,avg_pred_probability,actual_rate,actual_minus_pred,target,feature_set
validation,0,35480,0.03836548379364034,0.037683201803833145,-0.0006822819898071944,win,market_free
validation,1,8164,0.13986623242802826,0.1480891719745223,0.00822293954649403,win,market_free
validation,2,2292,0.2402007861075948,0.2513089005235602,0.011108114415965403,win,market_free
validation,3,630,0.3373423162892899,0.3746031746031746,0.037260858313884704,win,market_free
validation,4,146,0.4394062574256752,0.5342465753424658,0.0948403179167906,win,market_free
validation,5,29,0.5372983580183088,0.5862068965517241,0.04890853853341526,win,market_free
validation,6,11,0.638061809800655,0.6363636363636364,-0.001698173437018613,win,market_free
test,0,36727,0.03765070356486152,0.0384458300432924,0.0007951264784308784,win,market_free
test,1,7806,0.13927977764847807,0.1525749423520369,0.01329516470355882,win,market_free
test,2,2225,0.2403494535738169,0.2638202247191011,0.023470771145284203,win,market_free
test,3,558,0.33701940115939966,0.35125448028673834,0.014235079127338679,win,market_free
test,4,147,0.4418268360947575,0.38095238095238093,-0.06087445514237655,win,market_free
test,5,27,0.5401616611366608,0.5555555555555556,0.015393894418894827,win,market_free
test,6,7,0.6396042615521107,0.5714285714285714,-0.0681756901235393,win,market_free
latest_holdout,0,16605,0.035910845271888314,0.03806082505269497,0.0021499797808066587,win,market_free
latest_holdout,1,3309,0.14034861127067913,0.1517074644907827,0.011358853220103576,win,market_free
latest_holdout,2,1011,0.2397079862534027,0.2443125618199802,0.004604575566577507,win,market_free
latest_holdout,3,265,0.33825093181410865,0.33962264150943394,0.001371709695325296,win,market_free
latest_holdout,4,69,0.44436088241076077,0.4057971014492754,-0.03856378096148538,win,market_free
latest_holdout,5,13,0.5424297153771711,0.46153846153846156,-0.08089125383870954,win,market_free
latest_holdout,6,4,0.629385624161676,0.5,-0.12938562416167598,win,market_free
validation,0,35858,0.03716879087175106,0.03787160466283675,0.0007028137910856866,win,market_history
validation,1,7848,0.1400605391660034,0.14933741080530072,0.00927687163929733,win,market_history
validation,2,2175,0.2407757094511613,0.26804597701149424,0.027270267560332934,win,market_history
validation,3,649,0.33844939544097213,0.349768875192604,0.011319479751631889,win,market_history
validation,4,164,0.4397574850717928,0.5060975609756098,0.06634007590381696,win,market_history
validation,5,41,0.5416049976063075,0.7073170731707317,0.16571207556442413,win,market_history
validation,6,17,0.6352939665848888,0.47058823529411764,-0.16470573129077115,win,market_history
test,0,37104,0.036089865951957664,0.03902544200086244,0.0029355760489047783,win,market_history
test,1,7529,0.13941138394835126,0.15659450126178776,0.017183117313436497,win,market_history
test,2,2079,0.2401768795413772,0.2635882635882636,0.02341138404688639,win,market_history
