target,feature_set,feature,mean_abs_shap,status,reason
place,market_free,jockey_ren_rate,0.05341918454383179,ok,""
place,market_free,Barei,0.05226647842097731,ok,""
place,market_free,horse_distance_diff_last,0.05123541698874924,ok,""
place,market_free,horse_last3_avg_haron_l3,0.0486356652975691,ok,""
place,market_free,jockey_dist_band_top3_rate,0.04815160236978118,ok,""
place,market_free,MonthDay,0.04786693824295388,ok,""
place,market_free,jockey_jyo_top3_rate,0.047502652173654125,ok,""
place,market_free,GradeCD,0.04486485619258267,ok,""
place,market_free,horse_last5_ren_rate,0.04384335675526055,ok,""
place,market_free,horse_last5_win_rate,0.040811852054027924,ok,""
place,market_free,horse_last3_avg_time,0.0356615288799987,ok,""
place,market_free,horse_baba_win_rate,0.033594753562548256,ok,""
place,market_free,horse_surface_win_rate,0.0319979749018424,ok,""
place,market_free,horse_jyo_top3_rate,0.030866289247521484,ok,""
place,market_free,TenkoCD,0.027519508338656688,ok,""
place,market_history,horse_last1_avg_finish,0.25951169602114615,ok,""
place,market_history,horse_last3_avg_ninki,0.14709640698177792,ok,""
place,market_history,horse_surface_top3_rate,0.12033694652323718,ok,""
place,market_history,BaTaijyu,0.11144098616166573,ok,""
place,market_history,horse_last3_avg_finish,0.10599209713455184,ok,""
place,market_history,SyussoTosu,0.10583446878996831,ok,""
place,market_history,horse_last5_avg_ninki,0.09524743937357001,ok,""
place,market_history,TorokuTosu,0.08228922956268094,ok,""
place,market_history,horse_last3_avg_haron_l3,0.08215416716013343,ok,""
place,market_history,KisyuCode,0.07859781045617441,ok,""
place,market_history,Kyori,0.07106477968414734,ok,""
place,market_history,horse_days_since_last,0.06653037894266506,ok,""
place,market_history,MonthDay,0.06538663980068372,ok,""
place,market_history,horse_last3_win_rate,0.06464594526960535,ok,""
place,market_history,horse_last5_avg_haron_l3,0.06435540651892468,ok,""
place,market_history,horse_distance_diff_last,0.06226200351834406,ok,""
place,market_history,ChokyosiCode,0.05854053782362636,ok,""
place,market_history,JyoCD,0.058381990008958204,ok,""
place,market_history,JyokenCD5,0.05303018189974515,ok,""
place,market_history,jockey_jyo_top3_rate,0.051457900749776776,ok,""
place,market_history,horse_last3_avg_time,0.048019565680653714,ok,""
place,market_history,jockey_dist_band_top3_rate,0.04729600795307021,ok,""
place,market_history,GradeCD,0.04716126051780082,ok,""
place,market_history,Barei,0.04438372102693149,ok,""
place,market_history,horse_baba_win_rate,0.037465407097212106,ok,""
place,market_history,horse_surface_win_rate,0.035808536914268455,ok,""
place,market_history,trainer_past_starts,0.034825166628842386,ok,""
place,market_history,horse_last5_avg_finish,0.032848194087728946,ok,""
place,market_history,horse_last5_win_rate,0.03161356504433927,ok,""
place,market_history,TenkoCD,0.030599378462283444,ok,""
place,market_aware,horse_last1_avg_finish,0.18835324248548851,ok,""
place,market_aware,tan_odds,0.175513476638362,ok,""
place,market_aware,fuku_odds_low,0.13154039340946352,ok,""
place,market_aware,horse_last3_avg_ninki,0.12607215804049846,ok,""
place,market_aware,horse_surface_top3_rate,0.08777700314035503,ok,""
place,market_aware,BaTaijyu,0.0870378370217633,ok,""
place,market_aware,horse_last3_avg_finish,0.0842415023494568,ok,""
place,market_aware,SyussoTosu,0.07380328462226324,ok,""
place,market_aware,TorokuTosu,0.07338450413272445,ok,""
place,market_aware,horse_last3_avg_haron_l3,0.07153425157854167,ok,""
place,market_aware,KisyuCode,0.05694610866627298,ok,""
place,market_aware,Kyori,0.055605485422567894,ok,""
place,market_aware,horse_last3_win_rate,0.05475784034579177,ok,""
place,market_aware,horse_last5_avg_ninki,0.05469271236455396,ok,""
place,market_aware,horse_days_since_last,0.04978670770463367,ok,""
place,market_aware,MonthDay,0.04773581775542502,ok,""
place,market_aware,ChokyosiCode,0.046718905913143066,ok,""
place,market_aware,tan_ninki,0.046580484898685263,ok,""
place,market_aware,JyokenCD5,0.04655196365432904,ok,""
place,market_aware,horse_distance_diff_last,0.045826819746903266,ok,""
place,market_aware,JyoCD,0.04471375824562166,ok,""
place,market_aware,jockey_dist_band_top3_rate,0.041551164457277114,ok,""
place,market_aware,horse_surface_win_rate,0.0407411618975869,ok,""
place,market_aware,jockey_jyo_top3_rate,0.03976392295685565,ok,""
place,market_aware,GradeCD,0.039035024924036966,ok,""
place,market_aware,horse_last5_avg_haron_l3,0.03830897562247803,ok,""
place,market_aware,Barei,0.03497064136879734,ok,""
place,market_aware,horse_last3_avg_time,0.034551172708436474,ok,""
place,market_aware,horse_last3_place_paid_rate,0.027233867926427728,ok,""
place,market_aware,FukuVote,0.027224953010304642,ok,""
