target,feature_set,best_iteration,train_rows,validation_rows,test_rows,latest_holdout_rows,training_seconds,prediction_seconds,gpu_name,model_path,validation_logloss,validation_brier,validation_roc_auc,validation_pr_auc,validation_positive_rate,validation_pred_probability_mean,validation_race_metric,test_logloss,test_brier,test_roc_auc,test_pr_auc,test_positive_rate,test_pred_probability_mean,test_race_metric,latest_holdout_logloss,latest_holdout_brier,latest_holdout_roc_auc,latest_holdout_pr_auc,latest_holdout_positive_rate,latest_holdout_pred_probability_mean,latest_holdout_race_metric
place,market_aware,866,383401,46752,47497,21276,67.44477701187134,0.5217256546020508,GPU,models\catboost_baseline_v1\place\market_aware\model.cbm,0.43070488744771573,0.13884212528240053,0.7881306358952913,0.5152749410068012,0.21975530458590006,0.2077400903370784,0.5027986875120632,0.43126622897289213,0.13880684942336313,0.7830878500020952,0.5050352213409413,0.21635050634776934,0.1984255380060601,0.4938736131210805,0.4131595860982866,0.1324313550345826,0.8020214194881576,0.5290980689359728,0.21150592216582065,0.19309888344463685,0.5189243027888446
place,market_free,629,383401,46752,47497,21276,57.03722333908081,0.3749110698699951,GPU,models\catboost_baseline_v1\place\market_free\model.cbm,0.4394953072794958,0.14177948806151805,0.7758351430148329,0.4965263098211621,0.21975530458590006,0.209091773464219,0.4940648523451071,0.4396906105196398,0.14156350207751237,0.7711204630911227,0.4845894556728748,0.21635050634776934,0.2004325071264812,0.4835504100337674,0.422433244257587,0.1358465809768831,0.790756133100196,0.5011809379897216,0.21150592216582065,0.19544773303612337,0.5048694112439132
place,market_history,975,383401,46752,47497,21276,72.42580199241638,0.5730929374694824,GPU,models\catboost_baseline_v1\place\market_history\model.cbm,0.4379362552386276,0.14130318356271054,0.7783872104458458,0.4997237272451357,0.21975530458590006,0.20564567885186333,0.4939683458791739,0.4393336843262485,0.14152958075945235,0.7723874736643194,0.48628165342710516,0.21635050634776934,0.19501563641567174,0.48104196816208394,0.4217802087383956,0.13566598586631456,0.7925856779526307,0.5046970579207561,0.21150592216582065,0.18774673599867406,0.5044267374944665
win,market_aware,791,383401,46752,47497,21276,62.53308367729187,0.4801006317138672,GPU,models\catboost_baseline_v1\win\market_aware\model.cbm,0.22020025230745513,0.06117319826844773,0.8012753227311351,0.263279447105469,0.07400752908966461,0.07055813230517743,0.3138390272148234,0.22015526074444683,0.06098923781389622,0.7962749161471181,0.2446808038915932,0.072867760069057,0.06750942048928511,0.28683068017366137,0.2142722266211605,0.05922615085959151,0.8020460136742615,0.24684500312610244,0.0708309832675315,0.0659662850550071,0.2815405046480744
win,market_free,504,383401,46752,47497,21276,49.39592003822327,0.33936572074890137,GPU,models\catboost_baseline_v1\win\market_free\model.cbm,0.2249306644458592,0.06207163109879364,0.7866898808948402,0.24493138551557075,0.07400752908966461,0.07171660663578304,0.29820497973364213,0.22438861251316097,0.06172909388198849,0.7821332466050668,0.2276839958540946,0.072867760069057,0.06899088013531086,0.27814761215629524,0.21892299257925263,0.060315905841369366,0.7887514528705688,0.2191286979144672,0.0708309832675315,0.06734933451542602,0.26162018592297476
win,market_history,736,383401,46752,47497,21276,57.686442852020264,0.45815610885620117,GPU,models\catboost_baseline_v1\win\market_history\model.cbm,0.2241888466662181,0.06201764517459984,0.7896089480281504,0.24493906715148023,0.07400752908966461,0.07016727562536547,0.2964678633468442,0.22392482316231424,0.06171321592232334,0.7845192209499783,0.22732550698357962,0.072867760069057,0.06703414524948134,0.2795947901591896,0.21824620828204255,0.060223590452210714,0.7920575547373089,0.22187175727352867,0.0708309832675315,0.06521761268134323,0.26095617529880477
