target,feature_set,feature,importance
win,market_history,horse_surface_win_rate,1.1193193749309716
win,market_history,horse_baba_top3_rate,1.1009745714924226
win,market_history,trainer_ren_rate,1.0866589131774296
win,market_history,CourseKubunCD,1.0657101287000679
win,market_history,trainer_past_starts,1.0565639559058695
win,market_history,horse_baba_win_rate,1.047480378303038
win,market_history,jockey_dist_band_win_rate,1.0117623647284857
win,market_history,jockey_win_rate,1.004601715763981
win,market_history,horse_last5_avg_time,1.0027077750773525
win,market_history,horse_last3_avg_time,0.9825636846890795
win,market_history,TenkoCD,0.9464913074102481
win,market_history,jockey_top3_rate,0.9354669470632634
win,market_history,JyokenCD3,0.8565224071763147
win,market_history,horse_last3_ren_rate,0.8473739315392419
win,market_history,jockey_jyo_past_starts,0.8002310337079962
win,market_history,horse_surface_past_starts,0.7847903944773181
win,market_history,Futan,0.767890303198718
win,market_history,RaceNum,0.7200910463826719
win,market_history,TrackCD,0.7015130685539689
win,market_history,jockey_past_starts,0.6440371721432917
win,market_history,horse_last5_win_rate,0.634411428232045
win,market_history,horse_jyo_top3_rate,0.6227680330332843
win,market_history,Umaban,0.6100571064076524
win,market_history,horse_last5_ren_rate,0.6025261819352212
win,market_history,horse_last5_top3_rate,0.5987773739917738
win,market_history,Wakuban,0.5913440392591784
win,market_history,JyokenCD2,0.5911474641370658
win,market_history,horse_past_starts,0.5883327577788012
win,market_history,horse_dist_band_top3_rate,0.5873317529885176
win,market_history,YoubiCD,0.5727338947197967
win,market_history,SyubetuCD,0.5564648106995755
win,market_history,horse_futan_diff_last,0.5410564077589568
win,market_history,horse_jyo_win_rate,0.5351487716959467
win,market_history,jockey_dist_band_past_starts,0.5219260965349123
win,market_history,horse_baba_past_starts,0.5078184744222328
win,market_history,SexCD,0.5028831665198974
win,market_history,horse_body_weight_diff_last,0.49009275839579713
win,market_history,horse_last5_place_paid_rate,0.4676390869040138
win,market_history,horse_last3_place_paid_rate,0.4490243370953367
win,market_history,JyokenCD4,0.4161945450971342
win,market_history,ZogenSa,0.38770246162057853
win,market_history,Nichiji,0.3792592612883394
win,market_history,horse_dist_band_win_rate,0.29987709209709357
win,market_history,horse_dist_band_past_starts,0.2845678004444018
win,market_history,Kaiji,0.25482643630848656
win,market_history,horse_jyo_past_starts,0.23747042027943766
win,market_history,JyokenCD1,0.20955293937978506
win,market_history,horse_jockey_past_starts,0.20572404719272147
win,market_history,Year,0.18494730417562316
win,market_history,ZogenFugo,0.16801365030787624
win,market_history,horse_jockey_win_rate,0.1407127412079571
win,market_history,place_rank_limit,0.07325720561804665
win,market_history,place_bet_available_by_rule,0.00001887824988791975
win,market_history,SibaBabaCD,0.0
win,market_history,DirtBabaCD,0.0
win,market_aware,horse_last1_avg_finish,6.991334217521088
win,market_aware,tan_odds,5.995091264065755
win,market_aware,horse_last3_avg_ninki,4.285901004778474
win,market_aware,horse_last5_avg_ninki,3.7008041266701253
win,market_aware,BaTaijyu,2.9686391729656316
win,market_aware,horse_last3_avg_finish,2.693204935006908
win,market_aware,horse_days_since_last,2.5564643658503456
win,market_aware,fuku_odds_low,2.391564831560407
win,market_aware,fuku_odds_high,2.355508500328822
win,market_aware,trainer_win_rate,2.2002093583197277
win,market_aware,JyoCD,1.9690625202068324
win,market_aware,horse_surface_top3_rate,1.9385665121152023
win,market_aware,jockey_ren_rate,1.8341833373985161
win,market_aware,jockey_jyo_top3_rate,1.6608990322672788
win,market_aware,tan_ninki,1.6475946934289485
win,market_aware,horse_last5_avg_haron_l3,1.5804714748027495
win,market_aware,ChokyosiCode,1.4546613199336684
win,market_aware,trainer_top3_rate,1.4015430595679035
win,market_aware,horse_last3_win_rate,1.396898547017556
win,market_aware,horse_last3_avg_haron_l3,1.3873282097174102
win,market_aware,horse_last3_ren_rate,1.345153569738381
win,market_aware,jockey_dist_band_top3_rate,1.330018429615045
win,market_aware,jockey_jyo_win_rate,1.2929741592023174
win,market_aware,MonthDay,1.1961386881054563
win,market_aware,SyussoTosu,1.1958444191350046
win,market_aware,jockey_top3_rate,1.1918349082859883
win,market_aware,Kyori,1.1392901609467596
win,market_aware,TorokuTosu,1.1363679271812706
win,market_aware,horse_last5_avg_finish,1.1303232809663717
win,market_aware,GradeCD,1.1274415068939474
win,market_aware,Barei,1.0894417311798534
win,market_aware,horse_distance_diff_last,1.0884502601625974
win,market_aware,KisyuCode,1.0723529950771138
win,market_aware,horse_last3_avg_time,1.0164714157102315
win,market_aware,trainer_ren_rate,1.0121559794723634
win,market_aware,horse_baba_top3_rate,0.9862110518352659
win,market_aware,jockey_win_rate,0.951186897451016
win,market_aware,horse_baba_win_rate,0.9379688755205536
win,market_aware,trainer_past_starts,0.9331669509744932
win,market_aware,horse_last3_top3_rate,0.9177926926972608
win,market_aware,fuku_ninki,0.9142568365202003
win,market_aware,jockey_dist_band_win_rate,0.8928753908263553
win,market_aware,horse_surface_win_rate,0.889341467683799
win,market_aware,JyokenCD5,0.8632535763428922
win,market_aware,CourseKubunCD,0.7894124319635638
win,market_aware,horse_jockey_top3_rate,0.7546837092530656
win,market_aware,horse_last5_avg_time,0.7436158729344178
win,market_aware,horse_jyo_top3_rate,0.7287084772188452
win,market_aware,horse_last5_ren_rate,0.7076417400201254
win,market_aware,Futan,0.7040657237534246
win,market_aware,horse_last5_top3_rate,0.6907886018997385
win,market_aware,JyokenCD3,0.6782508982186334
win,market_aware,horse_surface_past_starts,0.668051343164587
win,market_aware,TenkoCD,0.6520952862953374
win,market_aware,YoubiCD,0.6305410060318708
win,market_aware,TrackCD,0.6171191596443325
win,market_aware,jockey_jyo_past_starts,0.6133108332201979
win,market_aware,Umaban,0.6104609994583687
win,market_aware,FukuVote,0.5965166943070762
win,market_aware,horse_last5_place_paid_rate,0.5867931986974505
win,market_aware,jockey_past_starts,0.5777731901419499
win,market_aware,horse_body_weight_diff_last,0.5701080116411205
win,market_aware,horse_dist_band_top3_rate,0.5695353831700312
win,market_aware,TanVote,0.5647091246763123
win,market_aware,JyokenCD2,0.5524349424002762
win,market_aware,jockey_dist_band_past_starts,0.5377187413514397
win,market_aware,horse_last3_place_paid_rate,0.5057505909651178
win,market_aware,win_votes_available,0.47751669386922113
win,market_aware,RaceNum,0.445789663714864
win,market_aware,place_votes_available,0.44460962109903135
win,market_aware,Wakuban,0.43093507629718
win,market_aware,horse_jyo_win_rate,0.41788745641863406
win,market_aware,horse_futan_diff_last,0.4094975075987814
win,market_aware,horse_last5_win_rate,0.40126826128811227
win,market_aware,Nichiji,0.37238699952661836
win,market_aware,SexCD,0.3618757505831134
win,market_aware,horse_past_starts,0.3496202371432661
win,market_aware,SyubetuCD,0.32136017117715715
win,market_aware,JyokenCD4,0.2964854701131511
win,market_aware,horse_baba_past_starts,0.25883061330314594
win,market_aware,Year,0.22004379564372567
win,market_aware,horse_jockey_past_starts,0.21935709732149142
win,market_aware,ZogenSa,0.21930024799797523
win,market_aware,ZogenFugo,0.2190051087653991
win,market_aware,horse_dist_band_win_rate,0.2104705076529573
win,market_aware,JyokenCD1,0.20900878491041897
win,market_aware,horse_dist_band_past_starts,0.20714886886454026
win,market_aware,horse_jockey_win_rate,0.20626832566389486
win,market_aware,Kaiji,0.20505290337110538
win,market_aware,horse_jyo_past_starts,0.1870609386559737
win,market_aware,place_odds_available,0.13907773044290936
win,market_aware,place_rank_limit,0.04913607776218321
win,market_aware,win_odds_available,0.010676475340108764
win,market_aware,SibaBabaCD,0.0
win,market_aware,DirtBabaCD,0.0
win,market_aware,place_bet_available_by_rule,0.0
place,market_free,horse_last1_avg_finish,9.021823796938522
place,market_free,horse_last3_avg_finish,5.659038801470377
place,market_free,horse_last5_avg_finish,4.707123093374516
place,market_free,BaTaijyu,3.5125905962212434
place,market_free,horse_surface_top3_rate,3.3986893563675595
place,market_free,horse_days_since_last,2.94902921679397
place,market_free,JyoCD,2.6153025124710965
place,market_free,JyokenCD5,2.3755904725243853
place,market_free,TorokuTosu,2.3398629577341774
place,market_free,ChokyosiCode,2.3237214873762064
place,market_free,KisyuCode,2.2213196547877563
place,market_free,horse_last5_avg_haron_l3,2.1355721281062694
place,market_free,SyussoTosu,2.079122176749052
place,market_free,jockey_jyo_top3_rate,2.0573925906044854
place,market_free,jockey_ren_rate,2.045790052544645
place,market_free,MonthDay,1.999709652366314
place,market_free,horse_last3_win_rate,1.8235397050593878
place,market_free,GradeCD,1.7942083808069424
place,market_free,Kyori,1.687162685326428
place,market_free,Barei,1.6260971372466722
place,market_free,jockey_top3_rate,1.6169303985132886
place,market_free,horse_last3_avg_haron_l3,1.6032326132708727
place,market_free,jockey_dist_band_top3_rate,1.5499200115053888
place,market_free,horse_distance_diff_last,1.5081920567816753
place,market_free,horse_last5_top3_rate,1.4845825928393679
place,market_free,trainer_top3_rate,1.4428205637522193
place,market_free,trainer_ren_rate,1.1164253321383093
place,market_free,trainer_win_rate,1.1157027944278384
place,market_free,horse_surface_win_rate,1.0975716477708268
place,market_free,horse_last5_avg_time,1.0965200887218243
place,market_free,horse_last5_win_rate,1.0306248059033833
place,market_free,horse_baba_win_rate,1.0300100263459653
place,market_free,horse_last3_avg_time,1.0211206451211152
place,market_free,trainer_past_starts,1.0200736722226125
place,market_free,horse_past_starts,1.0145385806609417
place,market_free,TenkoCD,0.9753395044107023
place,market_free,horse_surface_past_starts,0.9137660790324014
place,market_free,TrackCD,0.9107994270284347
place,market_free,Umaban,0.8760232802735989
place,market_free,JyokenCD2,0.8653656279848729
place,market_free,jockey_jyo_win_rate,0.8347297333660219
place,market_free,CourseKubunCD,0.7787100053893331
place,market_free,horse_last5_ren_rate,0.7562835492966135
place,market_free,SexCD,0.7205958270643124
place,market_free,horse_jockey_top3_rate,0.7185975906423084
place,market_free,horse_dist_band_top3_rate,0.6996790486906684
place,market_free,jockey_win_rate,0.6973626626023016
place,market_free,horse_jyo_top3_rate,0.6937485224054543
place,market_free,horse_baba_past_starts,0.6482767580263098
place,market_free,Wakuban,0.6307904754780522
place,market_free,JyokenCD3,0.5873034681966538
place,market_free,RaceNum,0.5871240227730236
place,market_free,horse_last3_top3_rate,0.5788482551167802
place,market_free,Futan,0.5784368854564457
place,market_free,jockey_past_starts,0.5517776325773023
place,market_free,horse_futan_diff_last,0.5374584011375184
place,market_free,SyubetuCD,0.505652348485039
place,market_free,Nichiji,0.48412199104399706
place,market_free,jockey_jyo_past_starts,0.4821695178649805
place,market_free,horse_last3_place_paid_rate,0.47300791553505156
place,market_free,horse_last3_ren_rate,0.46137844013464974
place,market_free,JyokenCD4,0.4497697735419461
place,market_free,ZogenSa,0.4355166506002605
place,market_free,horse_body_weight_diff_last,0.42143065656118733
place,market_free,YoubiCD,0.39793614330417404
place,market_free,horse_baba_top3_rate,0.38183007396466784
place,market_free,Year,0.37503658041731003
place,market_free,jockey_dist_band_past_starts,0.32239110734080095
place,market_free,jockey_dist_band_win_rate,0.30556879667081993
place,market_free,horse_jyo_win_rate,0.30526706233685785
place,market_free,horse_jockey_past_starts,0.29009370964141457
place,market_free,Kaiji,0.2731515497888206
place,market_free,JyokenCD1,0.2629215405519588
place,market_free,horse_jockey_win_rate,0.21157601619794197
place,market_free,ZogenFugo,0.19469415951393498
place,market_free,horse_jyo_past_starts,0.18870792375613135
place,market_free,horse_last5_place_paid_rate,0.18765200894858225
place,market_free,horse_dist_band_win_rate,0.17063763177645141
place,market_free,horse_dist_band_past_starts,0.1237936311783091
place,market_free,place_rank_limit,0.033725729050100975
place,market_free,SibaBabaCD,0.0
place,market_free,DirtBabaCD,0.0
place,market_free,place_bet_available_by_rule,0.0
place,market_history,horse_last1_avg_finish,8.764336337817625
place,market_history,horse_last3_avg_ninki,3.7413414775013747
place,market_history,horse_last3_avg_finish,3.6139007366092746
place,market_history,horse_last5_avg_ninki,3.46338084053929
place,market_history,BaTaijyu,2.974080935779316
place,market_history,horse_days_since_last,2.8088853146518353
place,market_history,horse_surface_top3_rate,2.682719282352656
place,market_history,JyoCD,2.6439305967810953
place,market_history,MonthDay,2.3600547487802657
place,market_history,SyussoTosu,2.3453139384130903
place,market_history,JyokenCD5,2.095173775143203
place,market_history,jockey_jyo_top3_rate,2.0563010357134086
place,market_history,horse_last3_avg_haron_l3,2.032312064988162
place,market_history,KisyuCode,2.02473475935895
place,market_history,ChokyosiCode,1.9895273792902186
place,market_history,Kyori,1.8028571538084932
place,market_history,horse_last3_win_rate,1.7245453995855045
place,market_history,horse_last5_avg_haron_l3,1.689736012135314
place,market_history,TorokuTosu,1.674816655016046
place,market_history,horse_distance_diff_last,1.607216593241549
place,market_history,jockey_dist_band_top3_rate,1.5707192464672364
place,market_history,GradeCD,1.4979386486262074
place,market_history,horse_last5_avg_finish,1.4861854408303805
place,market_history,jockey_top3_rate,1.418655089963212
place,market_history,trainer_top3_rate,1.3978793457850245
place,market_history,jockey_ren_rate,1.3756924858517159
place,market_history,horse_last3_avg_time,1.2959750521936255
place,market_history,horse_last5_avg_time,1.268700119078187
place,market_history,trainer_past_starts,1.2448569688373672
place,market_history,Barei,1.2050446054498705
place,market_history,TrackCD,1.1397963344779025
place,market_history,horse_baba_win_rate,1.0847869821650413
place,market_history,trainer_win_rate,1.0787627598961813
place,market_history,TenkoCD,1.076691732665098
place,market_history,Umaban,0.9812026444319181
place,market_history,horse_surface_win_rate,0.9610390293521202
place,market_history,jockey_jyo_past_starts,0.946148756313755
place,market_history,jockey_win_rate,0.9340876262993479
place,market_history,horse_jockey_top3_rate,0.9162823796488222
place,market_history,horse_surface_past_starts,0.869306778236514
place,market_history,CourseKubunCD,0.8521381630076468
place,market_history,jockey_past_starts,0.8504799356455423
place,market_history,horse_last5_top3_rate,0.8392984509791541
place,market_history,trainer_ren_rate,0.8221853720864843
place,market_history,horse_past_starts,0.8177951153307764
place,market_history,Wakuban,0.7959879231103661
place,market_history,jockey_jyo_win_rate,0.7792528216922268
place,market_history,horse_jyo_top3_rate,0.7623821133716946
place,market_history,SexCD,0.7473522937962565
place,market_history,horse_last3_place_paid_rate,0.7300532806976362
place,market_history,horse_dist_band_top3_rate,0.6861314152703344
place,market_history,Futan,0.6856576659489653
place,market_history,horse_last3_top3_rate,0.6785698822432412
place,market_history,jockey_dist_band_win_rate,0.6599022908485961
place,market_history,horse_futan_diff_last,0.6373681998867489
place,market_history,JyokenCD2,0.6320536486726126
place,market_history,YoubiCD,0.6245790442141547
place,market_history,RaceNum,0.6121152945682928
place,market_history,Nichiji,0.5904759519926664
place,market_history,horse_last3_ren_rate,0.587499970181061
place,market_history,JyokenCD3,0.5531834788057249
place,market_history,SyubetuCD,0.5529491912364671
place,market_history,jockey_dist_band_past_starts,0.5242287711690372
place,market_history,horse_baba_top3_rate,0.5113734991931974
