data_split,feature_set,rows,races,market_logloss,market_brier,market_top1_win_rate,catboost_logloss,catboost_brier,logloss_catboost_minus_market,brier_catboost_minus_market
validation,market_free,12517,950,0.20984423336043215,0.05963229697771212,0.32105263157894737,0.2249306644458592,0.06207163109879364,0.015086431085427066,0.002439334121081521
validation,market_history,12517,950,0.20984423336043215,0.05963229697771212,0.32105263157894737,0.2241888466662181,0.06201764517459984,0.014344613305785958,0.002385348196887717
validation,market_aware,12517,950,0.20984423336043215,0.05963229697771212,0.32105263157894737,0.22020025230745513,0.06117319826844773,0.010356018947022982,0.0015409012907356065
test,market_free,11448,852,0.2093031373375196,0.058488815274850364,0.3215962441314554,0.22438861251316097,0.06172909388198849,0.015085475175641377,0.0032402786071381237
test,market_history,11448,852,0.2093031373375196,0.058488815274850364,0.3215962441314554,0.22392482316231424,0.06171321592232334,0.014621685824794645,0.0032244006474729733
test,market_aware,11448,852,0.2093031373375196,0.058488815274850364,0.3215962441314554,0.22015526074444683,0.06098923781389622,0.010852123406927233,0.0025004225390458587
latest_holdout,market_free,6288,454,0.20041909860553375,0.055911616595211856,0.3524229074889868,0.21892299257925263,0.060315905841369366,0.018503893973718877,0.00440428924615751
latest_holdout,market_history,6288,454,0.20041909860553375,0.055911616595211856,0.3524229074889868,0.21824620828204255,0.060223590452210714,0.0178271096765088,0.0043119738569988575
latest_holdout,market_aware,6288,454,0.20041909860553375,0.055911616595211856,0.3524229074889868,0.2142722266211605,0.05922615085959151,0.013853128015626742,0.003314534264379651
