dimension,value,rows,o1_missing_rows,valid_rows,odds_type,valid_rate
MakeDate,20250211,1041,0,300,place,0.2881844380403458
MakeDate,20211220,1041,0,0,place,0.0
MakeDate,20170327,1041,0,324,place,0.3112391930835735
MakeDate,20251117,1040,0,292,place,0.28076923076923077
MakeDate,20250421,1040,0,396,place,0.38076923076923075
MakeDate,20220228,1040,0,300,place,0.28846153846153844
MakeDate,20200427,1040,0,295,place,0.28365384615384615
MakeDate,20160201,1040,0,405,place,0.3894230769230769
MakeDate,20260302,1039,0,526,place,0.5062560153994226
MakeDate,20250127,1039,0,202,place,0.1944177093358999
MakeDate,20170306,1039,0,286,place,0.27526467757459094
MakeDate,20231218,1038,0,129,place,0.12427745664739884
MakeDate,20171204,1038,0,305,place,0.29383429672447015
MakeDate,20240415,1037,0,0,place,0.0
MakeDate,20260427,1036,0,0,place,0.0
MakeDate,20230417,1036,0,0,place,0.0
MakeDate,20200907,1036,0,0,place,0.0
MakeDate,20160815,1034,0,431,place,0.41682785299806574
MakeDate,20240408,1033,0,60,place,0.05808325266214908
MakeDate,20220322,1033,0,560,place,0.542110358180058
MakeDate,20210222,1033,0,141,place,0.13649564375605033
MakeDate,20171211,1033,0,266,place,0.2575024201355276
MakeDate,20250414,1032,0,169,place,0.16375968992248063
MakeDate,20220905,1031,0,614,place,0.5955383123181377
MakeDate,20220425,1031,0,341,place,0.33074684772065954
MakeDate,20201124,1031,0,675,place,0.6547041707080504
MakeDate,20190520,1031,0,0,place,0.0
MakeDate,20200224,1030,0,0,place,0.0
MakeDate,20180129,1030,0,304,place,0.29514563106796116
MakeDate,20170130,1030,0,125,place,0.12135922330097088
MakeDate,20160829,1030,0,608,place,0.5902912621359223
MakeDate,20160725,1030,0,284,place,0.2757281553398058
MakeDate,20230424,1029,0,305,place,0.29640427599611274
MakeDate,20181119,1029,0,289,place,0.28085519922254615
MakeDate,20161212,1029,0,0,place,0.0
MakeDate,20161205,1029,0,299,place,0.29057337220602525
MakeDate,20240219,1028,0,290,place,0.2821011673151751
MakeDate,20160808,1028,0,201,place,0.19552529182879377
MakeDate,20260223,1027,0,322,place,0.31353456669912366
MakeDate,20200720,1026,0,291,place,0.28362573099415206
MakeDate,20200615,1026,0,535,place,0.5214424951267057
MakeDate,20190325,1026,0,514,place,0.5009746588693957
MakeDate,20230313,1025,0,382,place,0.3726829268292683
MakeDate,20200420,1025,0,0,place,0.0
MakeDate,20180514,1024,0,0,place,0.0
MakeDate,20230821,1023,0,155,place,0.15151515151515152
MakeDate,20221121,1023,0,0,place,0.0
MakeDate,20170814,1023,0,0,place,0.0
MakeDate,20160509,1023,0,708,place,0.6920821114369502
MakeDate,20250217,1022,0,0,place,0.0
MakeDate,20180305,1022,0,0,place,0.0
MakeDate,20230327,1021,0,28,place,0.02742409402546523
MakeDate,20230116,1021,0,870,place,0.8521057786483839
MakeDate,20260202,1020,0,612,place,0.6
MakeDate,20230320,1020,0,519,place,0.5088235294117647
MakeDate,20210524,1020,0,58,place,0.056862745098039215
MakeDate,20190304,1020,0,165,place,0.16176470588235295
MakeDate,20170227,1020,0,0,place,0.0
MakeDate,20180319,1019,0,639,place,0.6270853778213935
MakeDate,20170828,1019,0,590,place,0.5789990186457311
MakeDate,20220314,1018,0,40,place,0.03929273084479371
MakeDate,20200622,1018,0,53,place,0.05206286836935167
MakeDate,20160627,1018,0,0,place,0.0
MakeDate,20160620,1018,0,110,place,0.10805500982318271
MakeDate,20260323,1017,0,0,place,0.0
MakeDate,20250428,1017,0,517,place,0.5083579154375615
MakeDate,20230213,1017,0,0,place,0.0
MakeDate,20201116,1017,0,307,place,0.30186823992133727
MakeDate,20260126,1016,0,587,place,0.577755905511811
MakeDate,20250616,1016,0,0,place,0.0
MakeDate,20230410,1016,0,585,place,0.5757874015748031
MakeDate,20181203,1016,0,297,place,0.29232283464566927
MakeDate,20180326,1016,0,785,place,0.7726377952755905
MakeDate,20200210,1015,0,221,place,0.21773399014778325
MakeDate,20191111,1015,0,0,place,0.0
MakeDate,20251208,1014,0,0,place,0.0
MakeDate,20200831,1014,0,198,place,0.1952662721893491
MakeDate,20230904,1013,0,548,place,0.5409674234945706
MakeDate,20220530,1013,0,290,place,0.28627838104639686
MakeDate,20200120,1013,0,254,place,0.25074037512339586
MakeDate,20210301,1012,0,215,place,0.2124505928853755
MakeDate,20190422,1012,0,288,place,0.2845849802371542
MakeDate,20170313,1012,0,0,place,0.0
MakeDate,20210419,1011,0,301,place,0.29772502472799206
MakeDate,20210329,1011,0,587,place,0.5806132542037586
MakeDate,20190121,1011,0,286,place,0.2828882294757666
MakeDate,20240610,1010,0,294,place,0.29108910891089107
MakeDate,20220627,1010,0,305,place,0.30198019801980197
MakeDate,20211213,1010,0,0,place,0.0
MakeDate,20210906,1010,0,27,place,0.026732673267326732
MakeDate,20200217,1010,0,0,place,0.0
MakeDate,20190506,1010,0,294,place,0.29108910891089107
MakeDate,20210208,1009,0,592,place,0.5867195242814668
MakeDate,20251110,1008,0,0,place,0.0
MakeDate,20220207,1008,0,605,place,0.6001984126984127
MakeDate,20210215,1008,0,545,place,0.5406746031746031
MakeDate,20201207,1008,0,454,place,0.4503968253968254
MakeDate,20161011,1008,0,308,place,0.3055555555555556
MakeDate,20190812,1007,0,200,place,0.19860973187686196
MakeDate,20161031,1007,0,0,place,0.0
MakeDate,20210426,1006,0,313,place,0.3111332007952286
MakeDate,20200316,1006,0,588,place,0.584493041749503
MakeDate,20190218,1006,0,318,place,0.31610337972166996
MakeDate,20170919,1006,0,663,place,0.6590457256461233
MakeDate,20210308,1005,0,0,place,0.0
MakeDate,20200629,1005,0,0,place,0.0
MakeDate,20170508,1005,0,146,place,0.14527363184079603
MakeDate,20160704,1005,0,591,place,0.5880597014925373
